PassengerId,Survived,Sex,Pclass,Age,Fare,SibSp,Parch,Embarked
892,0,male,3,34.5,7.8292,0,0,2
893,1,female,3,47.0,7.0,1,0,0
894,0,male,2,62.0,9.6875,0,0,2
895,0,male,3,27.0,8.6625,0,0,0
896,1,female,3,22.0,12.2875,1,1,0
897,0,male,3,14.0,9.225,0,0,0
898,1,female,3,30.0,7.6292,0,0,2
899,0,male,2,26.0,29.0,1,1,0
900,1,female,3,18.0,7.2292,0,0,1
901,0,male,3,21.0,24.15,2,0,0
902,0,male,3,,7.8958,0,0,0
903,0,male,1,46.0,26.0,0,0,0
904,1,female,1,23.0,82.2667,1,0,0
905,0,male,2,63.0,26.0,1,0,0
906,1,female,1,47.0,61.175,1,0,0
907,1,female,2,24.0,27.7208,1,0,1
908,0,male,2,35.0,12.35,0,0,2
909,0,male,3,21.0,7.225,0,0,1
910,1,female,3,27.0,7.925,1,0,0
911,1,female,3,45.0,7.225,0,0,1
912,0,male,1,55.0,59.4,1,0,1
913,0,male,3,9.0,3.1708,0,1,0
914,1,female,1,,31.6833,0,0,0
915,0,male,1,21.0,61.3792,0,1,1
916,1,female,1,48.0,262.375,1,3,1
917,0,male,3,50.0,14.5,1,0,0
918,1,female,1,22.0,61.9792,0,1,1
919,0,male,3,22.5,7.225,0,0,1
920,0,male,1,41.0,30.5,0,0,0
921,0,male,3,,21.6792,2,0,1
922,0,male,2,50.0,26.0,1,0,0
923,0,male,2,24.0,31.5,2,0,0
924,1,female,3,33.0,20.575,1,2,0
925,1,female,3,,23.45,1,2,0
926,0,male,1,30.0,57.75,1,0,1
927,0,male,3,18.5,7.2292,0,0,1
928,1,female,3,,8.05,0,0,0
929,1,female,3,21.0,8.6625,0,0,0
930,0,male,3,25.0,9.5,0,0,0
931,0,male,3,,56.4958,0,0,0
932,0,male,3,39.0,13.4167,0,1,1
933,0,male,1,,26.55,0,0,0
934,0,male,3,41.0,7.85,0,0,0
935,1,female,2,30.0,13.0,0,0,0
936,1,female,1,45.0,52.5542,1,0,0
937,0,male,3,25.0,7.925,0,0,0
938,0,male,1,45.0,29.7,0,0,1
939,0,male,3,,7.75,0,0,2
940,1,female,1,60.0,76.2917,0,0,1
941,1,female,3,36.0,15.9,0,2,0
942,0,male,1,24.0,60.0,1,0,0
943,0,male,2,27.0,15.0333,0,0,1
944,1,female,2,20.0,23.0,2,1,0
945,1,female,1,28.0,263.0,3,2,0
946,0,male,2,,15.5792,0,0,1
947,0,male,3,10.0,29.125,4,1,2
948,0,male,3,35.0,7.8958,0,0,0
949,0,male,3,25.0,7.65,0,0,0
950,0,male,3,,16.1,1,0,0
951,1,female,1,36.0,262.375,0,0,1
952,0,male,3,17.0,7.8958,0,0,0
953,0,male,2,32.0,13.5,0,0,0
954,0,male,3,18.0,7.75,0,0,0
955,1,female,3,22.0,7.725,0,0,2
956,0,male,1,13.0,262.375,2,2,1
957,1,female,2,,21.0,0,0,0
958,1,female,3,18.0,7.8792,0,0,2
959,0,male,1,47.0,42.4,0,0,0
960,0,male,1,31.0,28.5375,0,0,1
961,1,female,1,60.0,263.0,1,4,0
962,1,female,3,24.0,7.75,0,0,2
963,0,male,3,21.0,7.8958,0,0,0
964,1,female,3,29.0,7.925,0,0,0
965,0,male,1,28.5,27.7208,0,0,1
